"","gender","SeniorCitizen","Partner","Dependents","tenure","PhoneService","MultipleLines","InternetService","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies","Contract","PaperlessBilling","PaymentMethod","MonthlyCharges","TotalCharges","Churn","TestPredictBinary"
"5560","Female","NO","No","No",13,"No","No phone service","DSL","No","Yes","No","No","No","No","Month-to-month","Yes","Electronic check",31.65,389.95,0,1
"5562","Male","NO","No","No",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Electronic check",20.65,20.65,0,0
"5565","Male","NO","No","No",35,"Yes","Yes","DSL","Yes","No","No","No","No","No","Two year","No","Mailed check",55.25,1924.1,0,0
"5568","Female","YES","No","No",49,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","No","Yes","One year","No","Bank transfer (automatic)",103,5166.2,0,0
"5571","Female","NO","Yes","Yes",37,"Yes","Yes","Fiber optic","No","Yes","Yes","No","No","Yes","Month-to-month","Yes","Electronic check",95.15,3532.85,0,0
"5573","Male","NO","Yes","No",70,"Yes","Yes","DSL","Yes","No","Yes","Yes","No","Yes","Two year","Yes","Credit card (automatic)",74.8,5315.8,0,0
"5574","Female","YES","No","No",1,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",69.85,69.85,1,1
"5575","Female","NO","No","No",41,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Electronic check",20.45,775.6,0,0
"5578","Male","NO","No","No",51,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Electronic check",19.1,1007.8,0,0
"5579","Female","NO","Yes","Yes",42,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Mailed check",20,833.55,0,0
"5581","Male","NO","No","No",48,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Bank transfer (automatic)",19.95,1004.5,0,0
"5583","Female","NO","No","No",48,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Credit card (automatic)",24,1183.05,0,0
"5584","Female","YES","Yes","No",26,"Yes","No","Fiber optic","No","Yes","No","No","No","Yes","Month-to-month","No","Electronic check",84.95,2169.75,1,0
"5589","Male","NO","No","No",1,"Yes","No","DSL","No","No","Yes","No","No","No","Month-to-month","Yes","Mailed check",49.65,49.65,1,0
"5591","Male","NO","Yes","Yes",25,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","Yes","Mailed check",19.15,477.6,0,0
"5598","Male","YES","No","No",22,"Yes","Yes","Fiber optic","No","No","No","Yes","Yes","No","Month-to-month","Yes","Bank transfer (automatic)",90.5,1910.6,1,1
"5601","Male","NO","Yes","Yes",7,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",69.95,529.5,1,0
"5605","Male","NO","No","No",17,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",70.8,1207,0,1
"5610","Male","NO","Yes","No",29,"Yes","Yes","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",80.15,2265.25,1,0
"5612","Female","YES","Yes","No",58,"Yes","Yes","Fiber optic","No","No","No","Yes","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",100.4,5749.8,0,0
"5613","Female","NO","No","No",45,"Yes","No","DSL","Yes","Yes","No","Yes","No","No","One year","Yes","Credit card (automatic)",62.55,2796.45,0,0
"5616","Male","NO","No","No",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","Yes","Bank transfer (automatic)",20.2,20.2,1,0
"5620","Female","YES","Yes","No",20,"Yes","No","Fiber optic","No","No","No","No","Yes","Yes","One year","Yes","Bank transfer (automatic)",91,1859.5,0,0
"5626","Female","NO","No","Yes",22,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","Yes","Electronic check",20.55,469.85,0,0
"5629","Female","NO","No","No",13,"Yes","Yes","Fiber optic","Yes","Yes","No","No","Yes","No","Month-to-month","Yes","Electronic check",96.65,1244.5,1,1
"5631","Female","NO","No","No",39,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",103.45,3994.45,1,1
"5634","Male","NO","No","Yes",6,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",26.35,184.05,0,0
"5637","Male","NO","Yes","No",14,"No","No phone service","DSL","No","No","No","No","Yes","Yes","Month-to-month","No","Electronic check",46.35,667.7,1,1
"5641","Male","NO","No","No",1,"Yes","No","Fiber optic","No","No","No","No","No","Yes","Month-to-month","No","Electronic check",79.6,79.6,1,1
"5642","Male","NO","No","Yes",39,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Bank transfer (automatic)",25.45,958.45,0,0
"5643","Female","NO","No","No",20,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Mailed check",19.5,403.15,0,0
"5644","Male","NO","No","No",1,"Yes","No","Fiber optic","No","No","No","Yes","No","No","Month-to-month","Yes","Electronic check",75.9,75.9,1,1
"5647","Male","NO","No","Yes",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",19.25,19.25,1,0
"5648","Female","NO","Yes","No",46,"Yes","No","DSL","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",69.1,3168,0,0
"5652","Female","NO","Yes","No",42,"Yes","Yes","Fiber optic","No","No","Yes","Yes","No","No","Month-to-month","Yes","Electronic check",84.3,3588.4,1,0
"5655","Male","YES","Yes","No",70,"Yes","No","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","Two year","No","Credit card (automatic)",105.35,7511.9,0,0
"5657","Male","NO","No","No",1,"Yes","No","DSL","Yes","No","No","No","No","No","Month-to-month","No","Electronic check",49.75,49.75,0,0
"5662","Male","NO","No","No",4,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","Yes","Electronic check",19.85,63,0,0
"5678","Male","NO","Yes","No",40,"Yes","No","Fiber optic","No","Yes","Yes","No","No","No","One year","No","Electronic check",80.8,3132.75,0,0
"5679","Female","NO","No","Yes",1,"Yes","No","DSL","Yes","Yes","No","Yes","No","No","Month-to-month","Yes","Electronic check",60,60,1,0
"5680","Male","NO","No","No",8,"Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",86.55,649.65,1,1
"5685","Female","YES","Yes","No",58,"Yes","No","Fiber optic","Yes","Yes","No","Yes","Yes","Yes","One year","Yes","Credit card (automatic)",105.5,6205.5,1,0
"5686","Male","NO","Yes","Yes",45,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Electronic check",19.2,903.7,0,0
"5687","Male","YES","No","No",6,"Yes","No","Fiber optic","Yes","No","No","No","Yes","No","Month-to-month","Yes","Bank transfer (automatic)",85.15,503.6,1,1
"5693","Male","NO","Yes","Yes",9,"Yes","No","DSL","No","Yes","No","Yes","No","No","Month-to-month","No","Mailed check",54.8,452.8,0,0
"5698","Female","NO","Yes","No",70,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","One year","Yes","Electronic check",109.5,7674.55,1,0
"5701","Male","YES","Yes","No",29,"Yes","Yes","Fiber optic","No","No","No","Yes","No","No","Month-to-month","Yes","Electronic check",79.3,2414.55,0,0
"5703","Male","YES","Yes","Yes",71,"Yes","Yes","Fiber optic","Yes","Yes","No","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",105.1,7548.1,1,0
"5705","Female","NO","Yes","No",19,"Yes","Yes","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",86.85,1564.4,0,1
"5708","Female","NO","No","No",2,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Electronic check",45.55,84.4,0,0
"5709","Female","YES","Yes","Yes",11,"Yes","Yes","Fiber optic","No","No","Yes","No","No","No","Month-to-month","Yes","Credit card (automatic)",78.1,864.85,0,1
"5716","Male","NO","No","No",32,"Yes","Yes","Fiber optic","Yes","Yes","No","Yes","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",108.15,3432.9,1,0
"5721","Female","NO","No","No",32,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","One year","Yes","Credit card (automatic)",104.05,3416.85,0,0
"5722","Female","NO","No","No",27,"Yes","No","DSL","Yes","Yes","No","No","No","No","Two year","No","Bank transfer (automatic)",52.85,1498.65,0,0
"5723","Female","YES","Yes","No",27,"Yes","Yes","Fiber optic","Yes","No","No","Yes","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",104.3,2867.75,1,0
"5733","Male","YES","No","No",19,"Yes","No","Fiber optic","Yes","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",87.3,1637.3,0,1
"5737","Male","NO","No","No",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",20.05,20.05,0,0
"5740","Male","YES","Yes","No",67,"Yes","Yes","Fiber optic","No","Yes","No","Yes","Yes","Yes","Two year","No","Bank transfer (automatic)",102.9,6989.7,0,0
"5741","Male","NO","Yes","Yes",69,"No","No phone service","DSL","Yes","No","Yes","Yes","No","No","Two year","No","Mailed check",39.1,2779.5,0,0
"5746","Female","NO","Yes","Yes",61,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","Mailed check",24.2,1445.2,0,0
"5748","Male","NO","Yes","No",32,"Yes","Yes","DSL","Yes","No","No","Yes","Yes","No","One year","Yes","Credit card (automatic)",72.8,2333.05,0,0
"5759","Male","NO","No","No",22,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Mailed check",20.3,475.1,0,0
"5761","Male","YES","Yes","No",16,"Yes","No","Fiber optic","No","No","Yes","Yes","No","Yes","Month-to-month","Yes","Electronic check",91.55,1540.05,0,1
"5762","Female","NO","Yes","Yes",48,"No","No phone service","DSL","Yes","Yes","No","Yes","No","No","Two year","No","Mailed check",39.4,1978.65,0,0
"5767","Female","NO","Yes","No",23,"Yes","No","DSL","No","No","No","Yes","Yes","No","One year","No","Bank transfer (automatic)",60,1347.15,0,0
"5768","Female","NO","Yes","No",65,"Yes","No","DSL","No","No","No","Yes","Yes","No","Two year","Yes","Credit card (automatic)",59.8,3808.2,0,0
"5769","Male","NO","Yes","No",44,"Yes","No","Fiber optic","No","No","No","No","Yes","Yes","One year","Yes","Bank transfer (automatic)",90.65,3974.15,0,0
"5774","Female","NO","No","No",35,"Yes","No","DSL","Yes","Yes","Yes","No","No","No","Month-to-month","No","Electronic check",60.55,1982.6,0,0
"5775","Male","NO","No","No",5,"Yes","No","DSL","No","Yes","No","Yes","No","Yes","Month-to-month","Yes","Bank transfer (automatic)",65.6,339.9,0,0
"5777","Male","NO","Yes","No",72,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","No","Yes","Two year","Yes","Bank transfer (automatic)",82.3,5980.55,0,0
"5778","Male","NO","Yes","No",72,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","No","No","Two year","No","Mailed check",68.15,4808.7,0,0
"5780","Female","NO","No","No",39,"Yes","No","Fiber optic","Yes","No","Yes","Yes","Yes","No","One year","Yes","Electronic check",95.55,3692.85,1,0
"5784","Female","YES","No","No",1,"Yes","No","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",89.3,89.3,1,1
"5787","Female","NO","Yes","No",72,"Yes","Yes","DSL","Yes","No","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",84.4,6096.45,0,0
"5788","Female","NO","No","No",36,"Yes","No","Fiber optic","No","No","Yes","Yes","No","Yes","Month-to-month","Yes","Electronic check",87.55,3078.1,1,0
"5790","Female","NO","No","No",25,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Credit card (automatic)",19.8,475.2,0,0
"5797","Female","NO","Yes","Yes",47,"No","No phone service","DSL","Yes","Yes","Yes","No","Yes","Yes","Two year","Yes","Credit card (automatic)",60,2768.65,0,0
"5798","Male","NO","Yes","No",19,"Yes","Yes","Fiber optic","Yes","Yes","No","Yes","No","No","Month-to-month","Yes","Credit card (automatic)",88.8,1672.35,0,0
"5805","Female","NO","Yes","Yes",71,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Credit card (automatic)",23.9,1663.5,0,0
"5807","Female","NO","No","Yes",2,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","Yes","Electronic check",19.6,35.85,1,0
"5814","Male","NO","Yes","Yes",48,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Credit card (automatic)",111.8,5443.65,0,0
"5817","Female","NO","No","No",3,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Electronic check",44.6,122.7,0,0
"5824","Female","NO","No","No",22,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","Yes","Mailed check",20.05,470.2,0,0
"5825","Male","NO","Yes","Yes",66,"Yes","Yes","DSL","No","Yes","Yes","No","Yes","Yes","Two year","No","Bank transfer (automatic)",79.85,5234.95,0,0
"5827","Female","NO","Yes","No",1,"Yes","No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Bank transfer (automatic)",79.35,79.35,1,1
"5828","Male","NO","Yes","Yes",34,"Yes","Yes","Fiber optic","No","No","Yes","No","No","Yes","Month-to-month","Yes","Credit card (automatic)",90.05,3097,0,0
"5831","Male","NO","No","Yes",30,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Bank transfer (automatic)",25.35,723.3,0,0
"5833","Male","NO","Yes","Yes",20,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",70.45,1470.95,1,0
"5835","Female","NO","Yes","No",65,"Yes","Yes","Fiber optic","Yes","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",105.05,6914.95,0,0
"5838","Female","NO","No","No",2,"No","No phone service","DSL","No","Yes","No","No","Yes","Yes","Month-to-month","No","Electronic check",51.4,96.8,0,1
"5839","Male","NO","Yes","Yes",53,"Yes","Yes","DSL","Yes","No","No","Yes","No","Yes","Month-to-month","No","Electronic check",71.85,3827.9,0,0
"5842","Male","YES","No","No",70,"No","No phone service","DSL","No","No","No","No","Yes","Yes","One year","Yes","Electronic check",45.25,3264.45,1,0
"5843","Female","NO","No","No",13,"Yes","Yes","DSL","Yes","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",78.75,995.35,0,1
"5845","Female","NO","Yes","No",2,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",70.4,154.8,0,1
"5846","Female","NO","No","No",3,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",75.8,246.3,1,1
"5852","Female","YES","No","No",35,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","One year","Yes","Bank transfer (automatic)",110.8,3836.3,0,0
"5855","Female","NO","No","No",15,"Yes","Yes","DSL","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",48.8,720.1,0,0
"5856","Female","NO","No","No",55,"Yes","No","DSL","Yes","No","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",50.55,2832.75,0,0
"5862","Male","NO","No","No",35,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Mailed check",19.25,677.9,0,0
"5868","Male","YES","Yes","No",44,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","Credit card (automatic)",19.35,847.25,0,0
"5869","Female","NO","No","No",1,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",44,44,0,0
"5873","Female","NO","No","Yes",1,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",69.65,69.65,1,1
"5877","Female","YES","No","No",1,"Yes","No","Fiber optic","No","Yes","No","No","No","Yes","Month-to-month","Yes","Electronic check",86,86,1,1
"5882","Female","NO","No","No",34,"Yes","No","DSL","Yes","No","Yes","Yes","Yes","Yes","One year","Yes","Bank transfer (automatic)",79.95,2727.3,0,0
"5884","Female","NO","No","No",13,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","Yes","Mailed check",20.3,275.4,0,0
"5885","Male","YES","Yes","No",46,"No","No phone service","DSL","No","Yes","Yes","Yes","Yes","Yes","One year","Yes","Bank transfer (automatic)",59.9,2816.65,1,0
"5888","Male","NO","No","Yes",17,"Yes","No","DSL","Yes","No","No","No","No","No","Month-to-month","Yes","Mailed check",50.3,846.8,0,0
"5890","Male","YES","Yes","No",59,"No","No phone service","DSL","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",50.25,2997.45,0,0
"5893","Male","NO","No","No",10,"Yes","No","DSL","Yes","No","No","No","No","No","Month-to-month","Yes","Mailed check",51.65,524.5,0,0
"5894","Male","NO","Yes","Yes",12,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","Bank transfer (automatic)",24,269.65,0,0
"5906","Male","NO","No","No",1,"Yes","No","Fiber optic","No","Yes","No","No","No","Yes","Month-to-month","Yes","Electronic check",85,85,0,1
"5908","Male","NO","No","No",1,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",44.3,44.3,0,0
"5911","Male","NO","No","No",6,"Yes","No","DSL","No","No","Yes","No","Yes","No","Month-to-month","No","Mailed check",60.9,414.1,0,0
"5914","Female","NO","No","No",26,"Yes","No","Fiber optic","Yes","No","Yes","Yes","No","No","One year","Yes","Credit card (automatic)",87.15,2274.1,0,0
"5922","Female","NO","No","No",27,"Yes","No","DSL","No","Yes","Yes","Yes","Yes","Yes","One year","No","Mailed check",78.2,2078.95,0,0
"5925","Male","NO","Yes","Yes",62,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Credit card (automatic)",20.65,1218.45,0,0
"5927","Male","NO","No","No",6,"Yes","No","DSL","Yes","No","Yes","Yes","Yes","Yes","Month-to-month","No","Credit card (automatic)",78.65,483.3,0,0
"5928","Male","NO","No","No",51,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Mailed check",24.75,1234.6,0,0
"5930","Male","YES","Yes","No",62,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","No","No","Month-to-month","Yes","Electronic check",89.1,5618.3,0,0
"5935","Female","YES","Yes","No",26,"Yes","Yes","Fiber optic","No","Yes","Yes","No","No","Yes","Month-to-month","Yes","Electronic check",93.85,2381.55,1,1
"5938","Female","YES","Yes","No",8,"Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",84,613.4,1,1
"5944","Male","NO","No","No",1,"Yes","No","Fiber optic","No","No","Yes","No","Yes","No","Month-to-month","Yes","Electronic check",84.85,84.85,1,1
"5945","Male","NO","No","No",12,"Yes","No","DSL","Yes","No","No","Yes","No","No","Month-to-month","No","Mailed check",56.65,654.85,1,0
"5951","Male","NO","No","Yes",1,"No","No phone service","DSL","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",24.7,24.7,0,1
"5952","Female","NO","No","No",37,"Yes","Yes","Fiber optic","No","No","No","Yes","Yes","Yes","Month-to-month","No","Credit card (automatic)",100.3,3541.4,0,0
"5958","Male","YES","Yes","No",18,"Yes","No","Fiber optic","No","No","No","No","No","Yes","Month-to-month","No","Electronic check",78.55,1422.65,1,1
"5961","Female","YES","No","No",62,"Yes","Yes","Fiber optic","No","No","No","No","Yes","No","One year","No","Electronic check",84.45,4959.15,0,0
"5962","Female","NO","No","No",1,"No","No phone service","DSL","No","No","Yes","Yes","No","No","Month-to-month","No","Mailed check",35.9,35.9,0,0
"5965","Female","NO","Yes","Yes",49,"Yes","No","DSL","Yes","No","Yes","Yes","No","No","Month-to-month","No","Bank transfer (automatic)",61.75,3024.15,0,0
"5966","Male","NO","Yes","Yes",36,"Yes","No","DSL","Yes","No","Yes","No","No","Yes","One year","Yes","Credit card (automatic)",63.7,2188.5,0,0
"5971","Male","NO","Yes","No",5,"Yes","Yes","Fiber optic","Yes","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",89.15,413.25,0,1
"5973","Female","YES","No","No",15,"Yes","Yes","DSL","No","No","No","Yes","No","No","Month-to-month","No","Credit card (automatic)",55,757.1,1,0
"5977","Male","NO","No","No",29,"No","No phone service","DSL","No","Yes","No","Yes","No","No","Month-to-month","No","Electronic check",34.3,1004.75,0,0
"5980","Male","NO","No","No",53,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Bank transfer (automatic)",19.65,978,0,0
"5982","Female","NO","Yes","Yes",38,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","Mailed check",20.2,746.05,0,0
"5983","Male","NO","No","No",15,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Mailed check",19.8,304.6,0,0
"5988","Female","NO","Yes","Yes",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Mailed check",20.35,20.35,0,0
"5989","Male","NO","Yes","Yes",12,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Bank transfer (automatic)",21.05,262.05,0,0
"5990","Male","YES","Yes","No",3,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",94.6,279.55,1,1
"5996","Male","NO","Yes","Yes",72,"Yes","No","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Bank transfer (automatic)",111.95,8033.1,0,0
"6001","Male","NO","No","Yes",52,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Credit card (automatic)",19.65,928.4,0,0
"6002","Female","NO","No","No",1,"No","No phone service","DSL","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",24.9,24.9,0,1
"6008","Male","NO","No","Yes",39,"No","No phone service","DSL","No","No","Yes","Yes","Yes","Yes","One year","No","Bank transfer (automatic)",54.85,2191.7,0,0
"6009","Male","NO","Yes","Yes",15,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","Yes","Mailed check",19.5,239.75,0,0
"6013","Female","NO","Yes","Yes",5,"Yes","No","Fiber optic","No","Yes","No","No","No","Yes","Month-to-month","Yes","Electronic check",83.6,404.2,1,1
"6019","Male","NO","No","No",33,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Mailed check",20.35,689.75,0,0
"6025","Female","NO","Yes","No",3,"Yes","Yes","Fiber optic","No","Yes","No","No","No","Yes","Month-to-month","Yes","Credit card (automatic)",91.5,242.95,1,1
"6026","Female","NO","No","Yes",41,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Bank transfer (automatic)",45.2,1841.9,0,0
"6037","Female","NO","Yes","No",53,"Yes","No","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","One year","No","Electronic check",110.5,5835.5,0,0
"6041","Female","NO","No","No",1,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","No","Mailed check",70.75,70.75,1,1
"6043","Female","YES","Yes","No",37,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Mailed check",19.6,727.8,0,0
"6044","Male","NO","No","No",3,"No","No phone service","DSL","No","No","Yes","No","Yes","No","Month-to-month","Yes","Mailed check",40.15,130.75,1,1
"6045","Female","NO","No","Yes",12,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",76.6,893,0,1
"6049","Male","YES","Yes","No",29,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",94.45,2653.65,1,1
"6056","Female","NO","No","No",6,"Yes","No","DSL","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",55,340.4,0,1
"6063","Female","YES","No","No",53,"Yes","No","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",73.8,4003.85,0,0
"6069","Female","NO","No","Yes",12,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",44.55,480.6,1,0
"6070","Male","NO","Yes","Yes",59,"Yes","No","DSL","No","Yes","Yes","Yes","Yes","Yes","One year","No","Credit card (automatic)",76.75,4541.9,0,0
"6078","Female","NO","Yes","No",62,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Mailed check",113.95,6891.4,0,0
"6079","Female","NO","Yes","No",55,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","One year","Yes","Electronic check",90.15,4916.95,0,0
"6085","Male","NO","Yes","No",36,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",95,3440.25,0,1
"6090","Female","YES","Yes","No",1,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","No","Month-to-month","Yes","Electronic check",90.6,90.6,1,1
"6091","Male","NO","Yes","Yes",68,"Yes","No","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","Two year","Yes","Credit card (automatic)",103.25,7074.4,0,0
"6097","Female","YES","No","No",1,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",70.2,70.2,0,1
"6098","Male","NO","Yes","Yes",72,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","No","Yes","Two year","No","Credit card (automatic)",81,5750,0,0
"6101","Female","YES","Yes","No",29,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",99.05,2952.85,1,1
"6105","Female","NO","No","No",4,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Electronic check",23.9,97.5,0,0
"6109","Male","NO","No","No",18,"No","No phone service","DSL","No","No","No","No","No","No","Month-to-month","No","Mailed check",25.15,476.8,0,0
"6110","Female","NO","No","No",2,"Yes","Yes","DSL","No","Yes","No","No","No","No","Month-to-month","No","Mailed check",54.15,101.65,0,0
"6114","Male","NO","No","No",21,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","No","Mailed check",75.3,1570.7,0,0
"6117","Female","NO","No","No",48,"Yes","Yes","DSL","No","Yes","Yes","Yes","Yes","No","One year","Yes","Bank transfer (automatic)",73.85,3581.4,0,0
"6121","Male","NO","No","No",6,"Yes","No","DSL","No","Yes","No","No","Yes","No","Month-to-month","No","Electronic check",59.45,357.6,0,0
"6122","Female","NO","Yes","Yes",8,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Bank transfer (automatic)",19.5,159.35,0,0
"6126","Male","NO","Yes","No",13,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",102.25,1359,1,1
"6128","Female","NO","Yes","No",56,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","One year","No","Bank transfer (automatic)",109.8,6109.65,0,0
